127.0.0.1 - - [07/Feb/2024:15:34:49 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:02 +0000] "GET /WebAppDemo/ HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/css/style.css HTTP/1.1" 200 10987
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/js/validate.js HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/css/js-image-slider.css HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/css/generic.css HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/js/js-image-slider.js HTTP/1.1" 200 16269
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/InLogo.png HTTP/1.1" 200 28396
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/image-slider-1.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/banner5.jpg HTTP/1.1" 200 90873
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/insurance-comparison.jpg HTTP/1.1" 200 71650
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/4.jpg HTTP/1.1" 200 56142
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/1.jpg HTTP/1.1" 200 56524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/css/images/grey.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/css/loading.gif HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/css/bullet.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:03 +0000] "GET /WebAppDemo/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:22 +0000] "POST /WebAppDemo/LogInController HTTP/1.1" 500 5865
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:22 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:24 +0000] "GET /WebAppDemo/ HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:44 +0000] "GET /WebAppDemo/images/image-slider-1.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:36:46 +0000] "GET /WebAppDemo/images/image-slider-1.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:37:27 +0000] "GET /WebAppDemo/images/image-slider-1.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Feb/2024:15:37:28 +0000] "GET /WebAppDemo/images/image-slider-1.jpg HTTP/1.1" 404 795
